"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Central Europe and the Baltics","CEB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353069","353396.27","354234.52","354647.18","355237.24","355827.3","356417.36","357007.42","357597.48","358187.54","358777.6","360147.66","361517.72","362887.78","364257.84","365627.9","366997.96","368368.02","369738.08","371108.14","372478.2","373931.3","375384.4","376837.5","378290.6","379743.7","380336.502","380939.984","381258","381574.9","381881.8",
"Switzerland","CHE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11535","11577.68","11620.36","11663.04","11705.72","11748.4","11791.08","11833.76","11876.44","11919.12","11961.8","12000.34","12038.88","12077.42","12115.96","12154.5","12193.04","12231.58","12270.12","12308.66","12347.2","12381.58","12415.96","12450.34","12484.72","12519.1","12553.5","12587.9","12622.3","12656.7","12691.1",
"Channel Islands","CHI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.3","8.49","8.68","8.87","9.06","9.25","9.44","9.63","9.82","10.01","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","10.2","","",
"Chile","CHL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152460.5","153031.51","153602.52","154173.53","154744.54","155315.55","155886.56","156457.57","157028.58","157599.59","158170.6","159078.8","159987","160895.2","161803.4","162711.6","163619.8","164528","165436.2","166344.4","167252.6","168994.24","170735.88","172477.52","174219.16","175960.8","177190.1","178419.4","179648.7","180878","182107",
"China","CHN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1571405.9","1591265.86","1611125.82","1630985.78","1650845.74","1670705.7","1690565.66","1710425.62","1730285.58","1750145.54","1770005.5","1793615.33","1817225.16","1840834.99","1864444.82","1888054.65","1911664.48","1935274.31","1958884.14","1982493.97","2006103.8","2025471.54","2044839.28","2064207.02","2083574.76","2102942.5","2124598.67","2143394.7","2162190.4","2180986.1","2199781.8",
"Cote d'Ivoire","CIV","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78508.6","75752.19","72995.78","70239.37","67482.96","64726.55","61970.14","59213.73","56457.32","53700.91","50944.5","49815.63","48686.76","47557.89","46429.02","45300.15","44171.28","43042.41","41913.54","40784.67","39655.8","38526.94","37398.08","36269.22","35140.36","34011.5","32882.6","31753.7","30624.8","29496","28367.1",
"Cameroon","CMR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225000","224097.49","223194.98","222292.47","221389.96","220487.45","219584.94","218682.43","217779.92","216877.41","215974.9","215277.89","214580.88","213883.87","213186.86","212489.85","211792.84","211095.83","210398.82","209701.81","209004.8","208444.8","207884.8","207324.8","206764.8","206204.8","205644.8","205084.8","204524.8","203964.8","203404.8",
"Congo, Dem. Rep.","COD","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1506290","1499560","1492830","1486100","1479370","1472640","1465910","1459180","1452450","1445720","1438990","1432260","1425530","1418800","1412070","1405340","1398610","1391880","1385150","1378420","1371690","1360676.24","1349662.48","1338648.72","1327634.96","1316621.2","1305607.4","1294593.7","1283579.9","1272566.1","1261552.4",
"Congo, Rep.","COG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","223150","223030","222910","222790","222670","222550","222430","222310","222190","222070","221950","221830","221710","221590","221470","221350","221230","221110","220990","220870","220750","220630","220510","220390","220270","220150","220030","219910","219760","219610","219460",
"Colombia","COL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","649581.4","647358.76","645136.12","642913.48","640690.84","638468.2","636245.56","634022.92","631800.28","629577.64","627355","625427.29","623499.58","621571.87","619644.16","617716.45","615788.74","613861.03","611933.32","610005.61","608077.9","606731.64","605385.38","604039.12","602692.86","601346.6","599594.9","597397.7","595404.8","593412","591419.1",
"Comoros","COM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460.6","456.22","451.84","447.46","443.08","438.7","434.32","429.94","425.56","421.18","416.8","412.42","408.04","403.66","399.28","394.9","390.52","386.14","381.76","377.38","373","368.62","364.24","359.86","355.48","351.1","346.7","342.3","338","333.6","329.2",
